Title;Year;Decade;Country;Genre;runtimeMinutes;IMDB;Score;averageRating;numVotes;directors;primaryName
Last Night in Soho;2021;2020s;UK;Horror;116;tt9639470;7.5;7.4;27493;nm0942367;Edgar Wright
Titane;2021;2020s;France;Horror;108;tt10944760;7.75;6.8;13061;nm4469445;Julia Ducournau
Dune;2021;2020s;USA;SciFi;155;tt1160419;9.25;8.3;138311;nm0898288;Denis Villeneuve
The Card Counter;2021;2020s;USA;Drama;111;tt11196036;8;6.3;5623;nm0001707;Paul Schrader
Free Guy;2021;2020s;USA;Comedy;115;tt6264654;7.75;7.5;73005;nm0506613;Shawn Levy
Old;2021;2020s;USA;Horror;108;tt10954652;7.25;5.8;32394;nm0796117;M. Night Shyamalan
Candyman;2021;2020s;USA;Horror;91;tt9347730;8;6.4;15354;nm4804442;Nia DaCosta
Malignant;2021;2020s;USA;Horror;111;tt3811906;7.5;6.4;5900;nm1490123;James Wan
CODA;2021;2020s;USA;Drama;111;tt10366460;7.75;8.1;13735;nm1571761;Sian Heder
Don't Breathe 2;2021;2020s;USA;Thriller;98;tt6246322;7;6.2;5900;nm2140186;Rodo Sayagues
No Man of God;2021;2020s;USA;Drama;100;tt13507778;7.5;6.6;347;nm0780547;Amber Sealey
Reminiscence;2021;2020s;USA;SciFi;116;tt3272066;7;5.9;11879;nm2847370;Lisa Joy
The Green Knight;2021;2020s;USA;Fantasy;130;tt9243804;7.5;7.3;13541;nm1108007;David Lowery
Pig;2021;2020s;USA;Drama;92;tt11003218;8;7;11412;nm3968825;Michael Sarnoski
A Classic Horror Story;2021;2020s;Italy;Horror;95;tt12877640;7.5;5.7;5928;nm3248608;Roberto De Feo
No Sudden Move;2021;2020s;USA;Crime;115;tt11525644;7;6.8;1296;nm0001752;Steven Soderbergh
Judas and the Black Messiah;2021;2020s;USA;Politics;126;tt9784798;8.25;7.5;50499;nm3489851;Shaka King
Wrath of Man;2021;2020s;UK;Action;119;tt11083552;7.5;7.4;8726;nm0005363;Guy Ritchie
The Night House;2020;2020s;USA;Horror;107;tt9731534;7.25;6.6;10838;nm1410159;David Bruckner
Promising Young Woman;2020;2020s;USA;Thriller;113;tt9620292;7.5;7.5;105645;nm2193504;Emerald Fennell
Riders of Justice;2020;2020s;Denmark;Action;116;tt11655202;7.25;7.7;12693;nm0421314;Anders Thomas Jensen
Archive;2020;2020s;UK;SciFi;109;tt6882604;7;6.4;14320;nm2707210;Gavin Rothery
Another Round;2020;2020s;Denmark;Drama;117;tt10288566;8.25;7.8;77007;nm0899121;Thomas Vinterberg
Quo Vadis, Aida?;2020;2020s;Bosnia and Herzegovina;Historical;101;tt8633462;8.25;7.8;15275;nm1120092;Jasmila Zbanic
Dear Comrades!;2020;2020s;Russia;Historical;121;tt10796286;7.5;7.3;2405;nm0464846;Andrey Konchalovskiy
Host;2020;2020s;USA;Horror;57;tt12749596;7.25;6.5;23302;nm3699074;Rob Savage
The Dry;2020;2020s;Australia;Crime;117;tt5144174;7;7;8233;nm0175352;Robert Connolly
Night in Paradise;2020;2020s;South Korea;Crime;131;tt12792418;7.5;6.7;3333;nm4219902;Park Hoon-Jung
The Father;2020;2020s;UK;Drama;97;tt10272386;8;8.3;46874;nm1725469;Florian Zeller
Alone;2020;2020s;USA;Thriller;98;tt7711170;7.75;6.2;7305;nm0404882;John Hyams
Mank;2020;2020s;USA;Drama;131;tt10618286;7.75;7.1;33212;nm0000399;David Fincher
Soul;2020;2020s;USA;Comedy;90;tt2948372;8.25;8.1;141337;nm0230032;Pete Docter
Tenet;2020;2020s;USA;Thriller;150;tt6723592;7.5;7.5;272119;nm0634240;Christopher Nolan
The Invisible Man;2020;2020s;USA;Thriller;124;tt1051906;7.5;7.1;163231;nm1191481;Leigh Whannell
His House;2020;2020s;UK;Horror;93;tt8508734;7.5;6.5;22172;nm3676311;Remi Weekes
Mangrove;2020;2020s;UK;Historical;127;tt10551100;9;8.1;3349;nm2588606;Steve McQueen
The Swordsman;2020;2020s;South Korea;Action;100;tt7035004;7.25;6.7;1105;nm9075613;Jae-Hoon Choi
Nomadland;2020;2020s;USA;Drama;108;tt9770150;7.25;7.6;28297;nm2125482;Chloé Zhao
Us;2019;2010s;USA;Horror;116;tt6857112;7;6.8;244152;nm1443502;Jordan Peele
Uncut Gems;2019;2010s;USA;Thriller;135;tt5727208;7;7.4;235433;nm1509478;Safdie Brothers
Light of My Life;2019;2010s;USA;Dystopia;119;tt6063090;8;6.6;11706;nm0000729;Casey Affleck
John Wick 3;2019;2010s;USA;Action;130;tt6146586;7.5;7.4;292710;nm0821432;Chad Stahelski
Ad Astra;2019;2010s;USA;SciFi;123;tt2935510;7.5;6.5;206622;nm0336695;James Gray
Bacurau;2019;2010s;Brazil;Dystopia;131;tt2762506;7.5;7.4;22977;nm2207625;Kleber Mendonça Filho
Jojo Rabbit;2019;2010s;USA;Comedy;108;tt2584384;7.5;7.9;323703;nm0169806;Taika Waititi
The Lighthouse;2019;2010s;USA;Horror;109;tt7984734;8.25;7.5;156488;nm3211470;Robert Eggers
Once Upon a Time in Hollywood;2019;2010s;USA;Drama;161;tt7131622;8.5;7.6;590519;nm0000233;Quentin Tarantino
Joker;2019;2010s;USA;Drama;122;tt7286456;9.25;8.4;1012226;nm0680846;Todd Phillips
Dr. Sleep;2019;2010s;USA;Horror;152;tt5606664;8;7.3;154219;nm1093039;Mike Flanagan
Dolor y Gloria;2019;2010s;Spain;Drama;113;tt8291806;7;7.5;52112;nm0000264;Pedro Almodóvar
Midsommar;2019;2010s;USA;Horror;148;tt8772262;7;7.1;255633;nm4170048;Ari Aster
Parasite;2019;2010s;South Korea;Drama;132;tt6751668;9.25;8.6;619889;nm0094435;Bong Joon Ho
The Hole in the Ground;2019;2010s;Ireland;Horror;90;tt6198946;7;5.7;17306;nm2091846;Lee Cronin
El Hoyo;2019;2010s;Spain;Dystopia;94;tt8228288;7;7;179163;nm2008067;Galder Gaztelu-Urrutia
Glass;2019;2010s;USA;Thriller;129;tt6823368;7;6.6;217307;nm0796117;M. Night Shyamalan
J'Accuse;2019;2010s;France;Historical;132;tt2398149;7.5;7.2;14940;nm0000591;Roman Polanski
Saint Maud;2019;2010s;UK;Horror;84;tt7557108;7;6.7;19853;nm3819217;Rose Glass
Richard Jewell;2019;2010s;USA;Historical;131;tt3513548;7.5;7.5;70586;nm0000142;Clint Eastwood
1917;2019;2010s;USA;War;119;tt8579674;7.5;8.3;466987;nm0005222;Sam Mendes
Avengers: Infinity War;2018;2010s;USA;Action;149;tt4154756;7.75;8.4;943237;nm0751577;Anthony Russo
Dylda, aka Beanpole;2019;2010s;Russia;Drama;130;tt10199640;7.5;7.1;9310;nm8921482;Kantemir Balagov
Mandy;2018;2010s;USA;Horror;121;tt6998518;7;6.6;59150;nm0181903;Panos Cosmatos
A Simple Favor;2018;2010s;USA;Thriller;117;tt7040874;7;6.8;118312;nm0082450;Paul Feig
Upgrade;2018;2010s;USA;Action;100;tt6499752;7;7.5;144283;nm1191481;Leigh Whannell
