Title;Year;Country;Genre;IMDB;Score;directors;primaryName
Stopmotion;2023;UK;Horror;tt14852624;7;nm1152178;Robert Morgan
The Zone of Interest;2023;UK;War;tt7160372;7.25;nm0322242;Jonathan Glazer
Dune 2;2024;USA;SciFi;tt15239678;9;nm0898288;Denis Villeneuve
Spaceman;2024;Czech Republic;SciFi;tt11097384;7;nm0719307;Johan Renck
The Teacher's Lounge;2023;Germany;Drama;tt26612950;7.25;nm1921714;Ilker Çatak
Femme;2023;UK;Drama;tt20114686;7.25;nm11956672;Sam H. Freeman
The Iron Claw;2023;USA;Drama;tt21064584;8;nm1699934;Sean Durkin
Robot Dreams;2023;Spain;Fantasy;tt13429870;7.25;nm0074311;Pablo Berger
Wonka;2023;USA;Musical;tt6166392;7.25;nm1653753;Paul King
All of Us Strangers;2023;UK;Drama;tt21192142;7.25;nm0354091;Andrew Haigh
Poor Things;2023;USA;Fantasy;tt14230458;8.5;nm0487166;Yorgos Lanthimos
About Dry Grasses;2023;Turkey;Drama;tt13231544;8.5;nm0149196;Nuri Bilge Ceylan
Lo Capitano;2023;Italy;Drama;tt14225838;8.25;nm0308520;Matteo Garrone
L'ultima Notte di Amore;2023;Italy;Crime;tt20465746;8;nm0224331;Andrea Di Stefano
Monster;2023;Japan;Drama;tt23736044;8;nm0466153;Hirokazu Koreeda
La Sociedad de la Nieve;2023;Uruguay;Historical;tt16277242;7.5;nm1291105;J.A. Bayona
Bastarden;2023;Denmark;Drama;tt20561198;7.5;nm1064048;Nikolaj Arcel
May December;2023;USA;Drama;tt13651794;7.5;nm0001331;Todd Haynes
Fallen Leaves;2023;Finland;Comedy;tt21027780;7.75;nm0442454;Aki Kaurismäki
Saltburn;2023;UK;Thriller;tt17351924;8.25;nm2193504;Emerald Fennell
Godzilla minus One;2023;Japan;Drama;tt23289160;8.75;nm0945724;Takashi Yamazaki
Cerrar los Ojos;2023;Spain;Drama;tt21284358;7.75;nm0258977;Víctor Erice
Dream Scenario;2023;USA;Horror;tt21942866;7.25;nm5589501;Kristoffer Borgli
Aporia;2023;USA;SciFi;tt8511466;7;nm1474337;Jared Moshe
The Boy and the Heron;2023;Japan;Fantasy;tt6587046;7;nm0594503;Hayao Miyazaki
Leave the World Behind;2023;USA;Thriller;tt12747748;8;nm1322753;Sam Esmail
Killers of the Flower Moon;2023;USA;Crime;tt5537002;7.5;nm0000217;Martin Scorsese
The Holdovers;2023;USA;Comedy;tt14849194;7.5;nm0668247;Alexander Payne
When Evil Lurks;2023;Argentina;Horror;tt16300962;7;nm1899608;Demián Rugna
Fair Play;2023;USA;Drama;tt16304446;7;nm2132542;Chloe Domont
The Killer;2023;USA;Crime;tt1136617;7.5;nm0000399;David Fincher
Hell House, The Carmichael Manor;2023;USA;Horror;tt22796890;7;nm3192191;Stephen Cognetti
Hermana Muerte;2023;Spain;Horror;tt19175696;7.25;nm0687042;Paco Plaza
Paradise;2023;Germany;SciFi;tt21308888;7;nm2853069;Boris Kunz
Anatomie d'une Chute;2023;France;Drama;tt17009710;8.75;nm2630323;Justine Triet
The Conference;2022;Germany;Historical;tt14321668;7.25;nm0315117;Matti Geschonneck
The Bone Woman;2022;Mexico;Horror;tt11718516;7.25;nm5582325;Michelle Garza Cervera
Totally Killer;2023;USA;Comedy;tt11426232;7;nm0451274;Nahnatchka Khan
The Wonderful Story of Henry Sugar;2023;UK;Comedy;tt16968450;8.5;nm0027572;Wes Anderson
Barbie;2023;USA;Fantasy;tt1517268;8;nm1950086;Greta Gerwig
Talk to Me;2022;USA;Horror;tt10638522;8;nm4053334;Danny Philippou
Sun and Cement;2023;Germany;Crime;tt13273800;7.75;nm1177494;David Wnendt
Past Lives;2023;South Korea;Drama;tt13238346;8.0;nm10227660;Celine Song
Captain Volkogorov Escapes;2021;Russia;Thriller;tt13322726;8.5;nm5237286;Natasha Merkulova
Godland;2022;Denmark;Drama;tt19623228;7.75;nm6249843;Hlynur Pálmason
The Boogeyman;2023;USA;Horror;tt3427252;7;nm3699074;Rob Savage
Corner Office;2022;USA;Comedy;tt13849558;7.75;nm3629315;Joachim Back
The Last Voyage of the Demeter;2023;USA;Horror;tt1001520;7.5;nm0004217;André Øvredal
Oppenheimer;2023;USA;Drama;tt15398776;8.5;nm0634240;Christopher Nolan
A Man;2022;Japan;Drama;tt20251822;7.5;nm2502457;Kei Ishikawa
Le Otto Montagne;2022;Italy;Drama;tt14641542;8.5;nm0886976;Felix van Groeningen
Cairo Conspiracy;2022;Egypt;Thriller;tt15452062;7.75;nm0757975;Tarik Saleh
Master Gardener;2022;USA;Drama;tt15342244;7.5;nm0001707;Paul Schrader
Spider-Man: Across the Spider-Verse;2023;USA;Action;tt9362722;8.5;nm1690966;Joaquim Dos Santos
World War III;2022;Iran;Drama;tt21378744;8.25;nm1982933;Houman Seyyedi
Alcarràs;2022;Spain;Drama;tt11930126;7;nm3427032;Carla Simón
Great Yarmouth: Provisional Figures;2022;Portugal;Drama;tt14888898;7.5;nm0554076;Marco Martins
A New Old Play;2021;China;Drama;tt14864160;7.25;nm4392117;Qiu Jiongjiong
Burning Days;2022;Turkey;Thriller;tt14859416;8;nm1625220;Emin Alper
A Thousand and One;2023;USA;Drama;tt12427158;7.75;nm5690427;A.V. Rockwell
Sick of Myself;2022;Norway;Drama;tt18816518;8;nm5589501;Kristoffer Borgli
Sisu;2022;Finland;Action;tt14846026;7.75;nm1118351;Jalmari Helander
Leila's Brothers;2022;Iran;Drama;tt19653180;9.25;nm7920254;Saeed Roustayi
Le Bleu du Caftan;2022;Morocco;Drama;tt17679584;8.25;nm5685112;Maryam Touzani
Guardians of the Galaxy;2023;USA;Action;tt6791350;8;nm0348181;James Gunn
The Covenant;2023;USA;War;tt4873118;8.25;nm0005363;Guy Ritchie
Evil Dead Rise;2023;USA;Horror;tt13345606;7;nm2091846;Lee Cronin
How to Blow Up a Pipeline;2022;USA;Politics;tt21440780;7.75;nm3771823;Daniel Goldhaber
The Artifice Girl;2022;USA;SciFi;tt20859464;7.25;nm6135474;Franklin Ritch
R.M.N.;2022;Romania;Drama;tt18550182;7.75;nm0612816;Cristian Mungiu
No Bears;2022;Iran;Drama;tt20205236;7.5;nm9824984;Panah Panahi
Suzume;2022;Japan;Fantasy;tt16428256;7;nm1396121;Makoto Shinkai
Tori et Lokita;2022;Belgium;Drama;tt18317064;7.75;nm0201094;Jean-Pierre Dardenne
